subject_id,age,education_code,education_name,gender_code,gender_name,handedness_code,handedness_name,spectacle_code,spectacle_name,text2_category_code,text2_category_name,path_full_form,path_text1_image,path_text2_image,path_json,path_chars_folder,text1_word_count,text1_char_count,text2_word_count,text2_char_count,total_word_count,total_char_count,lines_text1,lines_text2,lines_total
23,18,3,High School,0,Female,0,Right-handed,1,Uses glasses,3,Technology,MPHD\023-183001_3\023-183001_3.png,MPHD\023-183001_3\023-T1.png,MPHD\023-183001_3\023-T2-3.png,MPHD\023-183001_3\023-183001_3.json,MPHD\023-183001_3\Chars,80,368,69,313,149,681,5,4,9
24,17,3,High School,0,Female,0,Right-handed,1,Uses glasses,3,Technology,MPHD\024-173001_3\024-173001_3.png,MPHD\024-173001_3\024-T1.png,MPHD\024-173001_3\024-T2-3.png,MPHD\024-173001_3\024-173001_3.json,MPHD\024-173001_3\Chars,80,368,73,273,153,641,5,4,9
25,18,3,High School,0,Female,0,Right-handed,1,Uses glasses,3,Technology,MPHD\025-183001_3\025-183001_3.png,MPHD\025-183001_3\025-T1.png,MPHD\025-183001_3\025-T2-3.png,MPHD\025-183001_3\025-183001_3.json,MPHD\025-183001_3\Chars,80,368,76,373,156,741,5,4,9
26,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\026-183000_3\026-183000_3.png,MPHD\026-183000_3\026-T1.png,MPHD\026-183000_3\026-T2-3.png,MPHD\026-183000_3\026-183000_3.json,MPHD\026-183000_3\Chars,80,368,90,410,170,778,5,5,10
27,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\027-183000_3\027-183000_3.png,MPHD\027-183000_3\027-T1.png,MPHD\027-183000_3\027-T2-3.png,MPHD\027-183000_3\027-183000_3.json,MPHD\027-183000_3\Chars,80,368,71,350,151,718,6,5,11
28,17,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\028-173000_3\028-173000_3.png,MPHD\028-173000_3\028-T1.png,MPHD\028-173000_3\028-T2-3.png,MPHD\028-173000_3\028-173000_3.json,MPHD\028-173000_3\Chars,80,368,85,344,165,712,5,7,12
29,17,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\029-173000_3\029-173000_3.png,MPHD\029-173000_3\029-T1.png,MPHD\029-173000_3\029-T2-3.png,MPHD\029-173000_3\029-173000_3.json,MPHD\029-173000_3\Chars,80,368,85,320,165,688,6,5,11
30,17,3,High School,0,Female,0,Right-handed,1,Uses glasses,3,Technology,MPHD\030-173001_3\030-173001_3.png,MPHD\030-173001_3\030-T1.png,MPHD\030-173001_3\030-T2-3.png,MPHD\030-173001_3\030-173001_3.json,MPHD\030-173001_3\Chars,80,368,61,318,141,686,5,4,9
31,17,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\031-173000_3\031-173000_3.png,MPHD\031-173000_3\031-T1.png,MPHD\031-173000_3\031-T2-3.png,MPHD\031-173000_3\031-173000_3.json,MPHD\031-173000_3\Chars,80,368,88,362,168,730,5,5,10
32,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\032-183000_3\032-183000_3.png,MPHD\032-183000_3\032-T1.png,MPHD\032-183000_3\032-T2-3.png,MPHD\032-183000_3\032-183000_3.json,MPHD\032-183000_3\Chars,80,368,86,403,166,771,6,5,11
33,17,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\033-173000_3\033-173000_3.png,MPHD\033-173000_3\033-T1.png,MPHD\033-173000_3\033-T2-3.png,MPHD\033-173000_3\033-173000_3.json,MPHD\033-173000_3\Chars,80,368,86,366,166,734,5,5,10
34,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\034-183000_3\034-183000_3.png,MPHD\034-183000_3\034-T1.png,MPHD\034-183000_3\034-T2-3.png,MPHD\034-183000_3\034-183000_3.json,MPHD\034-183000_3\Chars,80,368,75,315,155,683,6,6,12
35,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\035-183000_3\035-183000_3.png,MPHD\035-183000_3\035-T1.png,MPHD\035-183000_3\035-T2-3.png,MPHD\035-183000_3\035-183000_3.json,MPHD\035-183000_3\Chars,80,368,65,296,145,664,5,4,9
36,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\036-183000_3\036-183000_3.png,MPHD\036-183000_3\036-T1.png,MPHD\036-183000_3\036-T2-3.png,MPHD\036-183000_3\036-183000_3.json,MPHD\036-183000_3\Chars,80,368,87,343,167,711,6,5,11
37,18,3,High School,0,Female,0,Right-handed,1,Uses glasses,3,Technology,MPHD\037-183001_3\037-183001_3.png,MPHD\037-183001_3\037-T1.png,MPHD\037-183001_3\037-T2-3.png,MPHD\037-183001_3\037-183001_3.json,MPHD\037-183001_3\Chars,80,368,71,309,151,677,6,5,11
38,18,3,High School,0,Female,0,Right-handed,1,Uses glasses,3,Technology,MPHD\038-183001_3\038-183001_3.png,MPHD\038-183001_3\038-T1.png,MPHD\038-183001_3\038-T2-3.png,MPHD\038-183001_3\038-183001_3.json,MPHD\038-183001_3\Chars,80,368,84,342,164,710,6,5,11
39,17,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\039-173000_3\039-173000_3.png,MPHD\039-173000_3\039-T1.png,MPHD\039-173000_3\039-T2-3.png,MPHD\039-173000_3\039-173000_3.json,MPHD\039-173000_3\Chars,80,368,74,334,154,702,8,7,15
40,17,3,High School,0,Female,1,Left-handed,0,No glasses,3,Technology,MPHD\040-173010_3\040-173010_3.png,MPHD\040-173010_3\040-T1.png,MPHD\040-173010_3\040-T2-3.png,MPHD\040-173010_3\040-173010_3.json,MPHD\040-173010_3\Chars,80,368,74,307,154,675,5,5,10
41,18,3,High School,0,Female,0,Right-handed,1,Uses glasses,3,Technology,MPHD\041-183001_3\041-183001_3.png,MPHD\041-183001_3\041-T1.png,MPHD\041-183001_3\041-T2-3.png,MPHD\041-183001_3\041-183001_3.json,MPHD\041-183001_3\Chars,80,368,56,229,136,597,5,3,8
42,17,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\042-173000_3\042-173000_3.png,MPHD\042-173000_3\042-T1.png,MPHD\042-173000_3\042-T2-3.png,MPHD\042-173000_3\042-173000_3.json,MPHD\042-173000_3\Chars,80,368,64,308,144,676,5,4,9
43,18,3,High School,0,Female,0,Right-handed,1,Uses glasses,3,Technology,MPHD\043-183001_3\043-183001_3.png,MPHD\043-183001_3\043-T1.png,MPHD\043-183001_3\043-T2-3.png,MPHD\043-183001_3\043-183001_3.json,MPHD\043-183001_3\Chars,80,368,56,261,136,629,5,3,8
44,18,3,High School,0,Female,1,Left-handed,1,Uses glasses,3,Technology,MPHD\044-183011_3\044-183011_3.png,MPHD\044-183011_3\044-T1.png,MPHD\044-183011_3\044-T2-3.png,MPHD\044-183011_3\044-183011_3.json,MPHD\044-183011_3\Chars,80,368,78,350,158,718,5,5,10
45,17,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\045-173000_3\045-173000_3.png,MPHD\045-173000_3\045-T1.png,MPHD\045-173000_3\045-T2-3.png,MPHD\045-173000_3\045-173000_3.json,MPHD\045-173000_3\Chars,80,368,84,340,164,708,5,5,10
46,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\046-183000_3\046-183000_3.png,MPHD\046-183000_3\046-T1.png,MPHD\046-183000_3\046-T2-3.png,MPHD\046-183000_3\046-183000_3.json,MPHD\046-183000_3\Chars,80,368,84,369,164,737,5,5,10
47,17,3,High School,0,Female,1,Left-handed,0,No glasses,3,Technology,MPHD\047-173010_3\047-173010_3.png,MPHD\047-173010_3\047-T1.png,MPHD\047-173010_3\047-T2-3.png,MPHD\047-173010_3\047-173010_3.json,MPHD\047-173010_3\Chars,80,368,61,271,141,639,6,5,11
48,17,3,High School,0,Female,0,Right-handed,1,Uses glasses,3,Technology,MPHD\048-173001_3\048-173001_3.png,MPHD\048-173001_3\048-T1.png,MPHD\048-173001_3\048-T2-3.png,MPHD\048-173001_3\048-173001_3.json,MPHD\048-173001_3\Chars,80,368,100,458,180,826,6,7,13
49,17,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\049-173000_3\049-173000_3.png,MPHD\049-173000_3\049-T1.png,MPHD\049-173000_3\049-T2-3.png,MPHD\049-173000_3\049-173000_3.json,MPHD\049-173000_3\Chars,80,368,94,365,174,733,5,5,10
50,17,3,High School,0,Female,1,Left-handed,0,No glasses,3,Technology,MPHD\050-173010_3\050-173010_3.png,MPHD\050-173010_3\050-T1.png,MPHD\050-173010_3\050-T2-3.png,MPHD\050-173010_3\050-173010_3.json,MPHD\050-173010_3\Chars,80,368,63,281,143,649,5,4,9
51,15,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\051-152000_4\051-152000_4.png,MPHD\051-152000_4\051-T1.png,MPHD\051-152000_4\051-T2-4.png,MPHD\051-152000_4\051-152000_4.json,MPHD\051-152000_4\Chars,80,368,85,339,165,707,5,5,10
52,15,2,Secondary School,0,Female,0,Right-handed,1,Uses glasses,4,Economy,MPHD\052-152001_4\052-152001_4.png,MPHD\052-152001_4\052-T1.png,MPHD\052-152001_4\052-T2-4.png,MPHD\052-152001_4\052-152001_4.json,MPHD\052-152001_4\Chars,80,368,87,350,167,718,6,6,12
53,15,2,Secondary School,0,Female,1,Left-handed,0,No glasses,4,Economy,MPHD\053-152010_4\053-152010_4.png,MPHD\053-152010_4\053-T1.png,MPHD\053-152010_4\053-T2-4.png,MPHD\053-152010_4\053-152010_4.json,MPHD\053-152010_4\Chars,80,368,80,352,160,720,5,5,10
54,16,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\054-162000_4\054-162000_4.png,MPHD\054-162000_4\054-T1.png,MPHD\054-162000_4\054-T2-4.png,MPHD\054-162000_4\054-162000_4.json,MPHD\054-162000_4\Chars,80,368,78,350,158,718,5,5,10
55,15,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\055-152000_4\055-152000_4.png,MPHD\055-152000_4\055-T1.png,MPHD\055-152000_4\055-T2-4.png,MPHD\055-152000_4\055-152000_4.json,MPHD\055-152000_4\Chars,80,368,80,321,160,689,6,6,12
56,15,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\056-152000_4\056-152000_4.png,MPHD\056-152000_4\056-T1.png,MPHD\056-152000_4\056-T2-4.png,MPHD\056-152000_4\056-152000_4.json,MPHD\056-152000_4\Chars,80,368,73,309,153,677,5,4,9
57,16,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\057-162000_4\057-162000_4.png,MPHD\057-162000_4\057-T1.png,MPHD\057-162000_4\057-T2-4.png,MPHD\057-162000_4\057-162000_4.json,MPHD\057-162000_4\Chars,80,368,88,346,168,714,5,5,10
58,16,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\058-162000_4\058-162000_4.png,MPHD\058-162000_4\058-T1.png,MPHD\058-162000_4\058-T2-4.png,MPHD\058-162000_4\058-162000_4.json,MPHD\058-162000_4\Chars,80,368,84,304,164,672,5,4,9
59,16,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\059-162000_4\059-162000_4.png,MPHD\059-162000_4\059-T1.png,MPHD\059-162000_4\059-T2-4.png,MPHD\059-162000_4\059-162000_4.json,MPHD\059-162000_4\Chars,80,368,83,327,163,695,5,5,10
60,15,2,Secondary School,0,Female,0,Right-handed,1,Uses glasses,4,Economy,MPHD\060-152001_4\060-152001_4.png,MPHD\060-152001_4\060-T1.png,MPHD\060-152001_4\060-T2-4.png,MPHD\060-152001_4\060-152001_4.json,MPHD\060-152001_4\Chars,80,368,81,387,161,755,5,6,11
61,15,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\061-152000_4\061-152000_4.png,MPHD\061-152000_4\061-T1.png,MPHD\061-152000_4\061-T2-4.png,MPHD\061-152000_4\061-152000_4.json,MPHD\061-152000_4\Chars,80,368,73,333,153,701,5,4,9
62,15,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\062-152000_4\062-152000_4.png,MPHD\062-152000_4\062-T1.png,MPHD\062-152000_4\062-T2-4.png,MPHD\062-152000_4\062-152000_4.json,MPHD\062-152000_4\Chars,80,368,64,261,144,629,5,3,8
63,15,2,Secondary School,0,Female,0,Right-handed,1,Uses glasses,4,Economy,MPHD\063-152001_4\063-152001_4.png,MPHD\063-152001_4\063-T1.png,MPHD\063-152001_4\063-T2-4.png,MPHD\063-152001_4\063-152001_4.json,MPHD\063-152001_4\Chars,80,368,80,305,160,673,5,4,9
64,14,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\064-142000_4\064-142000_4.png,MPHD\064-142000_4\064-T1.png,MPHD\064-142000_4\064-T2-4.png,MPHD\064-142000_4\064-142000_4.json,MPHD\064-142000_4\Chars,80,368,79,320,159,688,5,4,9
65,14,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\065-142000_4\065-142000_4.png,MPHD\065-142000_4\065-T1.png,MPHD\065-142000_4\065-T2-4.png,MPHD\065-142000_4\065-142000_4.json,MPHD\065-142000_4\Chars,80,368,77,300,157,668,5,5,10
66,15,2,Secondary School,0,Female,0,Right-handed,1,Uses glasses,4,Economy,MPHD\066-152001_4\066-152001_4.png,MPHD\066-152001_4\066-T1.png,MPHD\066-152001_4\066-T2-4.png,MPHD\066-152001_4\066-152001_4.json,MPHD\066-152001_4\Chars,80,368,84,418,164,786,5,5,10
67,14,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\067-142000_4\067-142000_4.png,MPHD\067-142000_4\067-T1.png,MPHD\067-142000_4\067-T2-4.png,MPHD\067-142000_4\067-142000_4.json,MPHD\067-142000_4\Chars,80,368,78,302,158,670,4,4,8
68,16,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\068-162000_4\068-162000_4.png,MPHD\068-162000_4\068-T1.png,MPHD\068-162000_4\068-T2-4.png,MPHD\068-162000_4\068-162000_4.json,MPHD\068-162000_4\Chars,80,368,73,294,153,662,6,6,12
69,16,2,Secondary School,0,Female,0,Right-handed,1,Uses glasses,4,Economy,MPHD\069-162001_4\069-162001_4.png,MPHD\069-162001_4\069-T1.png,MPHD\069-162001_4\069-T2-4.png,MPHD\069-162001_4\069-162001_4.json,MPHD\069-162001_4\Chars,80,368,83,352,163,720,6,5,11
70,16,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\070-162000_4\070-162000_4.png,MPHD\070-162000_4\070-T1.png,MPHD\070-162000_4\070-T2-4.png,MPHD\070-162000_4\070-162000_4.json,MPHD\070-162000_4\Chars,80,368,91,356,171,724,5,6,11
71,14,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\071-142000_4\071-142000_4.png,MPHD\071-142000_4\071-T1.png,MPHD\071-142000_4\071-T2-4.png,MPHD\071-142000_4\071-142000_4.json,MPHD\071-142000_4\Chars,80,368,93,342,173,710,5,5,10
72,16,2,Secondary School,0,Female,1,Left-handed,1,Uses glasses,4,Economy,MPHD\072-162011_4\072-162011_4.png,MPHD\072-162011_4\072-T1.png,MPHD\072-162011_4\072-T2-4.png,MPHD\072-162011_4\072-162011_4.json,MPHD\072-162011_4\Chars,80,368,83,354,163,722,6,5,11
73,15,2,Secondary School,0,Female,1,Left-handed,1,Uses glasses,4,Economy,MPHD\073-152011_4\073-152011_4.png,MPHD\073-152011_4\073-T1.png,MPHD\073-152011_4\073-T2-4.png,MPHD\073-152011_4\073-152011_4.json,MPHD\073-152011_4\Chars,80,368,85,333,165,701,5,4,9
74,15,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\074-152000_4\074-152000_4.png,MPHD\074-152000_4\074-T1.png,MPHD\074-152000_4\074-T2-4.png,MPHD\074-152000_4\074-152000_4.json,MPHD\074-152000_4\Chars,80,368,75,306,155,674,5,5,10
75,15,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\075-152000_4\075-152000_4.png,MPHD\075-152000_4\075-T1.png,MPHD\075-152000_4\075-T2-4.png,MPHD\075-152000_4\075-152000_4.json,MPHD\075-152000_4\Chars,80,368,76,334,156,702,6,6,12
76,15,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\076-152000_4\076-152000_4.png,MPHD\076-152000_4\076-T1.png,MPHD\076-152000_4\076-T2-4.png,MPHD\076-152000_4\076-152000_4.json,MPHD\076-152000_4\Chars,81,373,77,339,158,712,7,6,13
77,14,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\077-142000_4\077-142000_4.png,MPHD\077-142000_4\077-T1.png,MPHD\077-142000_4\077-T2-4.png,MPHD\077-142000_4\077-142000_4.json,MPHD\077-142000_4\Chars,81,365,97,391,178,756,6,6,12
78,15,2,Secondary School,0,Female,0,Right-handed,1,Uses glasses,4,Economy,MPHD\078-152001_4\078-152001_4.png,MPHD\078-152001_4\078-T1.png,MPHD\078-152001_4\078-T2-4.png,MPHD\078-152001_4\078-152001_4.json,MPHD\078-152001_4\Chars,80,368,71,303,151,671,5,4,9
79,15,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\079-152000_4\079-152000_4.png,MPHD\079-152000_4\079-T1.png,MPHD\079-152000_4\079-T2-4.png,MPHD\079-152000_4\079-152000_4.json,MPHD\079-152000_4\Chars,80,368,89,381,169,749,5,5,10
80,14,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\080-142000_4\080-142000_4.png,MPHD\080-142000_4\080-T1.png,MPHD\080-142000_4\080-T2-4.png,MPHD\080-142000_4\080-142000_4.json,MPHD\080-142000_4\Chars,80,368,76,355,156,723,5,5,10
81,15,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\081-152000_4\081-152000_4.png,MPHD\081-152000_4\081-T1.png,MPHD\081-152000_4\081-T2-4.png,MPHD\081-152000_4\081-152000_4.json,MPHD\081-152000_4\Chars,80,368,86,368,166,736,6,6,12
82,14,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\082-142000_4\082-142000_4.png,MPHD\082-142000_4\082-T1.png,MPHD\082-142000_4\082-T2-4.png,MPHD\082-142000_4\082-142000_4.json,MPHD\082-142000_4\Chars,80,368,94,429,174,797,5,7,12
83,14,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\083-142000_4\083-142000_4.png,MPHD\083-142000_4\083-T1.png,MPHD\083-142000_4\083-T2-4.png,MPHD\083-142000_4\083-142000_4.json,MPHD\083-142000_4\Chars,80,368,94,453,174,821,6,7,13
84,15,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\084-152000_4\084-152000_4.png,MPHD\084-152000_4\084-T1.png,MPHD\084-152000_4\084-T2-4.png,MPHD\084-152000_4\084-152000_4.json,MPHD\084-152000_4\Chars,80,368,75,301,155,669,6,5,11
85,15,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\085-152000_4\085-152000_4.png,MPHD\085-152000_4\085-T1.png,MPHD\085-152000_4\085-T2-4.png,MPHD\085-152000_4\085-152000_4.json,MPHD\085-152000_4\Chars,80,368,81,342,161,710,5,5,10
86,14,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\086-142000_4\086-142000_4.png,MPHD\086-142000_4\086-T1.png,MPHD\086-142000_4\086-T2-4.png,MPHD\086-142000_4\086-142000_4.json,MPHD\086-142000_4\Chars,80,368,100,412,180,780,6,6,12
87,15,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\087-152000_4\087-152000_4.png,MPHD\087-152000_4\087-T1.png,MPHD\087-152000_4\087-T2-4.png,MPHD\087-152000_4\087-152000_4.json,MPHD\087-152000_4\Chars,80,368,73,347,153,715,5,5,10
88,16,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\088-162000_4\088-162000_4.png,MPHD\088-162000_4\088-T1.png,MPHD\088-162000_4\088-T2-4.png,MPHD\088-162000_4\088-162000_4.json,MPHD\088-162000_4\Chars,80,368,88,389,168,757,5,5,10
89,14,2,Secondary School,0,Female,0,Right-handed,0,No glasses,4,Economy,MPHD\089-142000_4\089-142000_4.png,MPHD\089-142000_4\089-T1.png,MPHD\089-142000_4\089-T2-4.png,MPHD\089-142000_4\089-142000_4.json,MPHD\089-142000_4\Chars,80,368,85,397,165,765,5,5,10
